player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,-1,-1,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,5,8,-1,-1,-1,-1,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,5,7,-1,-1,-1,-1,2000
Me,5,4,-1,-1,-1,-1,0
Enemy,5,6,-1,-1,-1,-1,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,-1,-1,4,7,4,9,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,5,5,-1,-1,-1,-1,2000
Me,5,8,-1,-1,-1,-1,0
Enemy,-1,-1,4,8,6,8,2000
Me,6,8,-1,-1,-1,-1,0
Enemy,5,4,-1,-1,-1,-1,2000
Me,7,8,-1,-1,-1,-1,0
Enemy,-1,-1,6,8,8,8,2000
Me,8,8,-1,-1,-1,-1,0
Enemy,-1,-1,8,6,8,8,2000
Me,8,7,-1,-1,-1,-1,0
Enemy,5,3,-1,-1,-1,-1,2000
Me,-1,-1,3,2,5,2,0
Enemy,6,3,-1,-1,-1,-1,2000
Me,-1,-1,5,2,7,2,0
Enemy,7,3,-1,-1,-1,-1,2000
Me,-1,-1,7,2,9,2,0
Enemy,6,3,-1,-1,-1,-1,2000
Me,8,6,-1,-1,-1,-1,0
Enemy,5,3,-1,-1,-1,-1,2000
Me,9,6,-1,-1,-1,-1,0
Enemy,4,3,-1,-1,-1,-1,2000
Me,9,7,-1,-1,-1,-1,0
Enemy,-1,-1,7,7,9,7,2000
Me,-1,-1,3,2,3,4,0
Enemy,4,4,-1,-1,-1,-1,2000
Me,-1,-1,3,4,3,6,0
Enemy,4,5,-1,-1,-1,-1,2000
Me,9,6,-1,-1,-1,-1,0
Enemy,4,6,-1,-1,-1,-1,2000
Me,8,6,-1,-1,-1,-1,0
Enemy,4,7,-1,-1,-1,-1,2000
Me,8,7,-1,-1,-1,-1,0
Enemy,3,7,-1,-1,-1,-1,2000
Me,7,7,-1,-1,-1,-1,0
Enemy,3,6,-1,-1,-1,-1,2000
Me,6,7,-1,-1,-1,-1,0
Enemy,3,5,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,-1,-1,4,5,4,7,2000
Me,-1,-1,1,4,3,4,0
Enemy,2,5,-1,-1,-1,-1,2000
Me,-1,-1,1,4,1,6,0
Enemy,-1,-1,4,5,6,5,2000
Me,-1,-1,1,6,1,8,0
Enemy,2,6,-1,-1,-1,-1,2000
Me,6,7,-1,-1,-1,-1,0
Enemy,2,7,-1,-1,-1,-1,2000
Me,7,7,-1,-1,-1,-1,0
Enemy,3,7,-1,-1,-1,-1,2000
Me,7,6,-1,-1,-1,-1,0
Enemy,3,8,-1,-1,-1,-1,2000
Me,7,5,-1,-1,-1,-1,0
Enemy,3,9,-1,-1,-1,-1,2000
Me,6,5,-1,-1,-1,-1,0
Enemy,2,9,-1,-1,-1,-1,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,1,9,-1,-1,-1,-1,2000
Me,4,5,-1,-1,-1,-1,0
Enemy,1,8,-1,-1,-1,-1,2000
Me,4,6,-1,-1,-1,-1,0
Enemy,1,7,-1,-1,-1,-1,2000
Me,4,7,-1,-1,-1,-1,0
Enemy,1,6,-1,-1,-1,-1,2000
Me,4,8,-1,-1,-1,-1,0
Enemy,-1,-1,2,8,4,8,2000
Me,3,8,-1,-1,-1,-1,0
Enemy,1,5,-1,-1,-1,-1,2000
Me,2,8,-1,-1,-1,-1,0
Enemy,1,4,-1,-1,-1,-1,2000
Me,2,9,-1,-1,-1,-1,1
