player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,5,2,-1,-1,-1,-1,2000
Me,5,8,-1,-1,-1,-1,0
Enemy,-1,-1,4,1,6,1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,5,3,-1,-1,-1,-1,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,5,4,-1,-1,-1,-1,2000
Me,-1,-1,3,4,5,4,0
Enemy,6,4,-1,-1,-1,-1,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,7,5,-1,-1,-1,-1,0
Enemy,6,6,-1,-1,-1,-1,2000
Me,7,4,-1,-1,-1,-1,0
Enemy,6,7,-1,-1,-1,-1,2000
Me,-1,-1,4,7,6,7,0
Enemy,7,7,-1,-1,-1,-1,2000
Me,-1,-1,6,7,8,7,0
Enemy,-1,-1,6,3,8,3,2000
Me,-1,-1,7,5,7,7,0
Enemy,6,7,-1,-1,-1,-1,2000
Me,-1,-1,4,5,4,7,0
Enemy,6,6,-1,-1,-1,-1,2000
Me,8,4,-1,-1,-1,-1,0
Enemy,-1,-1,7,2,9,2,2000
Me,7,4,-1,-1,-1,-1,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,6,4,-1,-1,-1,-1,0
Enemy,5,5,-1,-1,-1,-1,2000
Me,6,3,-1,-1,-1,-1,0
Enemy,4,5,-1,-1,-1,-1,2000
Me,6,2,-1,-1,-1,-1,0
Enemy,-1,-1,6,1,8,1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,-1,-1,4,1,4,3,2000
Me,-1,-1,2,5,4,5,0
Enemy,3,5,-1,-1,-1,-1,2000
Me,6,2,-1,-1,-1,-1,0
Enemy,-1,-1,6,1,6,3,2000
Me,-1,-1,0,5,2,5,0
Enemy,4,5,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,-1,-1,3,2,5,2,2000
Me,6,2,-1,-1,-1,-1,0
Enemy,5,5,-1,-1,-1,-1,2000
Me,6,3,-1,-1,-1,-1,0
Enemy,-1,-1,4,3,4,5,2000
Me,6,4,-1,-1,-1,-1,0
Enemy,-1,-1,8,3,8,5,2000
Me,-1,-1,5,4,5,6,0
Enemy,5,6,-1,-1,-1,-1,2000
Me,7,4,-1,-1,-1,-1,0
Enemy,5,7,-1,-1,-1,-1,2000
Me,8,4,-1,-1,-1,-1,0
Enemy,-1,-1,6,4,8,4,2000
Me,7,4,-1,-1,-1,-1,0
Enemy,6,7,-1,-1,-1,-1,2000
Me,6,4,-1,-1,-1,-1,0
Enemy,6,6,-1,-1,-1,-1,2000
Me,6,5,-1,-1,-1,-1,0
Enemy,7,6,-1,-1,-1,-1,2000
Me,7,5,-1,-1,-1,-1,0
Enemy,6,6,-1,-1,-1,-1,2000
Me,-1,-1,6,4,6,6,7
Enemy,6,5,-1,-1,-1,-1,2000
Me,8,5,-1,-1,-1,-1,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,8,6,-1,-1,-1,-1,0
Enemy,8,5,-1,-1,-1,-1,2000
Me,9,6,-1,-1,-1,-1,0
Enemy,8,6,-1,-1,-1,-1,2000
Me,9,5,-1,-1,-1,-1,0
Enemy,8,7,-1,-1,-1,-1,2000
Me,9,4,-1,-1,-1,-1,0
Enemy,9,7,-1,-1,-1,-1,2000
Me,9,3,-1,-1,-1,-1,0
Enemy,9,8,-1,-1,-1,-1,2000
Me,8,3,-1,-1,-1,-1,2
Enemy,9,9,-1,-1,-1,-1,1
Me,-1,-1,-1,-1,-1,-1,2
