player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,-1,-1,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,5,8,-1,-1,-1,-1,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,5,7,-1,-1,-1,-1,2000
Me,5,4,-1,-1,-1,-1,0
Enemy,-1,-1,3,7,5,7,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,-1,-1,4,8,6,8,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,5,5,-1,-1,-1,-1,2000
Me,-1,-1,3,4,5,4,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,6,4,-1,-1,-1,-1,2000
Me,-1,-1,4,3,6,3,0
Enemy,7,4,-1,-1,-1,-1,2000
Me,6,7,-1,-1,-1,-1,0
Enemy,-1,-1,5,7,7,7,2000
Me,7,7,-1,-1,-1,-1,0
Enemy,-1,-1,7,5,7,7,2000
Me,-1,-1,6,3,8,3,0
Enemy,-1,-1,1,7,3,7,2000
Me,-1,-1,7,3,7,5,0
Enemy,-1,-1,1,5,1,7,2000
Me,6,7,-1,-1,-1,-1,0
Enemy,-1,-1,0,5,2,5,2000
Me,-1,-1,5,3,5,5,0
Enemy,-1,-1,4,1,4,3,2000
Me,-1,-1,4,4,4,6,0
Enemy,6,4,-1,-1,-1,-1,2000
Me,-1,-1,4,5,6,5,0
Enemy,7,4,-1,-1,-1,-1,2000
Me,-1,-1,6,4,8,4,0
Enemy,6,4,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,4,7,-1,-1,-1,-1,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,3,7,-1,-1,-1,-1,0
Enemy,7,6,-1,-1,-1,-1,2000
Me,3,6,-1,-1,-1,-1,0
Enemy,-1,-1,1,4,3,4,2000
Me,-1,-1,2,6,4,6,0
Enemy,6,6,-1,-1,-1,-1,2000
Me,3,5,-1,-1,-1,-1,0
Enemy,5,6,-1,-1,-1,-1,2000
Me,-1,-1,4,6,6,6,0
Enemy,6,6,-1,-1,-1,-1,2000
Me,2,5,-1,-1,-1,-1,0
Enemy,7,6,-1,-1,-1,-1,2000
Me,1,5,-1,-1,-1,-1,0
Enemy,7,7,-1,-1,-1,-1,2000
Me,1,4,-1,-1,-1,-1,0
Enemy,6,7,-1,-1,-1,-1,2000
Me,2,4,-1,-1,-1,-1,0
Enemy,5,7,-1,-1,-1,-1,2000
Me,3,4,-1,-1,-1,-1,0
Enemy,-1,-1,2,1,4,1,2000
Me,2,4,-1,-1,-1,-1,0
Enemy,4,7,-1,-1,-1,-1,2000
Me,2,3,-1,-1,-1,-1,0
Enemy,3,7,-1,-1,-1,-1,2000
Me,2,2,-1,-1,-1,-1,0
Enemy,2,7,-1,-1,-1,-1,2000
Me,2,1,-1,-1,-1,-1,0
Enemy,2,6,-1,-1,-1,-1,2000
Me,3,1,-1,-1,-1,-1,0
Enemy,3,6,-1,-1,-1,-1,2000
Me,4,1,-1,-1,-1,-1,0
Enemy,3,5,-1,-1,-1,-1,2000
Me,5,1,-1,-1,-1,-1,0
Enemy,2,5,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,1,5,-1,-1,-1,-1,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,1,4,-1,-1,-1,-1,2000
Me,6,3,-1,-1,-1,-1,0
Enemy,1,3,-1,-1,-1,-1,2000
Me,7,3,-1,-1,-1,-1,0
Enemy,1,2,-1,-1,-1,-1,2000
Me,8,3,-1,-1,-1,-1,2
Enemy,1,1,-1,-1,-1,-1,1
Me,-1,-1,-1,-1,-1,-1,2
