player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,-1,-1,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,5,8,-1,-1,-1,-1,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,5,7,-1,-1,-1,-1,2000
Me,5,4,-1,-1,-1,-1,0
Enemy,-1,-1,3,8,5,8,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,-1,-1,5,6,5,8,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,5,5,-1,-1,-1,-1,2000
Me,6,6,-1,-1,-1,-1,0
Enemy,-1,-1,5,6,7,6,2000
Me,-1,-1,3,4,5,4,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,-1,-1,5,4,7,4,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,7,6,-1,-1,-1,-1,0
Enemy,8,5,-1,-1,-1,-1,2000
Me,8,6,-1,-1,-1,-1,0
Enemy,-1,-1,7,6,9,6,2000
Me,-1,-1,7,4,9,4,0
Enemy,-1,-1,1,8,3,8,2000
Me,-1,-1,4,4,4,6,0
Enemy,-1,-1,-1,-1,-1,-1,2000
Me,7,6,-1,-1,-1,-1,1
