player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,-1,-1,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,5,8,-1,-1,-1,-1,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,5,7,-1,-1,-1,-1,2000
Me,5,4,-1,-1,-1,-1,0
Enemy,-1,-1,3,7,5,7,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,-1,-1,4,8,6,8,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,5,5,-1,-1,-1,-1,2000
Me,-1,-1,3,4,5,4,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,-1,-1,5,4,7,4,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,8,5,-1,-1,-1,-1,2000
Me,6,7,-1,-1,-1,-1,0
Enemy,-1,-1,5,7,7,7,2000
Me,7,7,-1,-1,-1,-1,0
Enemy,-1,-1,7,5,7,7,2000
Me,-1,-1,7,4,9,4,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,6,7,-1,-1,-1,-1,0
Enemy,-1,-1,3,5,3,7,2000
Me,7,7,-1,-1,-1,-1,0
Enemy,-1,-1,5,5,7,5,2000
Me,6,7,-1,-1,-1,-1,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,-1,-1,5,3,5,5,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,8,5,-1,-1,-1,-1,2000
Me,4,7,-1,-1,-1,-1,0
Enemy,-1,-1,3,6,5,6,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,8,6,-1,-1,-1,-1,2000
Me,6,7,-1,-1,-1,-1,0
Enemy,8,7,-1,-1,-1,-1,2000
Me,6,6,-1,-1,-1,-1,0
Enemy,8,8,-1,-1,-1,-1,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,7,8,-1,-1,-1,-1,2000
Me,4,6,-1,-1,-1,-1,0
Enemy,-1,-1,2,5,4,5,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,-1,-1,2,3,2,5,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,-1,-1,2,1,2,3,2000
Me,4,5,-1,-1,-1,-1,0
Enemy,6,8,-1,-1,-1,-1,2000
Me,3,5,-1,-1,-1,-1,0
Enemy,5,8,-1,-1,-1,-1,2000
Me,-1,-1,4,6,4,8,0
Enemy,6,8,-1,-1,-1,-1,2000
Me,3,4,-1,-1,-1,-1,0
Enemy,7,8,-1,-1,-1,-1,2000
Me,3,3,-1,-1,-1,-1,0
Enemy,7,9,-1,-1,-1,-1,2000
Me,3,2,-1,-1,-1,-1,0
Enemy,6,9,-1,-1,-1,-1,2000
Me,3,1,-1,-1,-1,-1,0
Enemy,5,9,-1,-1,-1,-1,2000
Me,2,1,-1,-1,-1,-1,0
Enemy,4,9,-1,-1,-1,-1,2000
Me,2,2,-1,-1,-1,-1,0
Enemy,3,9,-1,-1,-1,-1,2000
Me,2,3,-1,-1,-1,-1,0
Enemy,2,9,-1,-1,-1,-1,2000
Me,2,4,-1,-1,-1,-1,0
Enemy,2,8,-1,-1,-1,-1,2000
Me,2,5,-1,-1,-1,-1,0
Enemy,2,7,-1,-1,-1,-1,2000
Me,2,6,-1,-1,-1,-1,0
Enemy,2,5,-1,-1,-1,-1,2000
Me,2,7,-1,-1,-1,-1,0
Enemy,2,4,-1,-1,-1,-1,2000
Me,2,8,-1,-1,-1,-1,0
Enemy,2,3,-1,-1,-1,-1,2000
Me,2,9,-1,-1,-1,-1,1
