player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,5,2,-1,-1,-1,-1,2000
Me,5,8,-1,-1,-1,-1,0
Enemy,5,3,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,5,4,-1,-1,-1,-1,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,-1,-1,3,1,5,1,2000
Me,-1,-1,3,6,5,6,0
Enemy,-1,-1,4,2,6,2,2000
Me,-1,-1,5,6,7,6,0
Enemy,4,4,-1,-1,-1,-1,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,3,4,-1,-1,-1,-1,2000
Me,-1,-1,1,4,3,4,0
Enemy,2,4,-1,-1,-1,-1,2000
Me,5,4,-1,-1,-1,-1,0
Enemy,1,4,-1,-1,-1,-1,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,1,5,-1,-1,-1,-1,2000
Me,6,3,-1,-1,-1,-1,0
Enemy,-1,-1,6,1,6,3,2000
Me,-1,-1,0,5,2,5,0
Enemy,2,5,-1,-1,-1,-1,2000
Me,6,4,-1,-1,-1,-1,0
Enemy,-1,-1,6,3,6,5,2000
Me,-1,-1,2,3,2,5,0
Enemy,-1,-1,4,2,4,4,2000
Me,6,5,-1,-1,-1,-1,0
Enemy,1,5,-1,-1,-1,-1,2000
Me,6,6,-1,-1,-1,-1,0
Enemy,-1,-1,6,5,6,7,2000
Me,6,5,-1,-1,-1,-1,0
Enemy,-1,-1,2,3,4,3,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,-1,-1,1,6,3,6,2000
Me,4,5,-1,-1,-1,-1,0
Enemy,-1,-1,1,6,1,8,2000
Me,-1,-1,6,5,8,5,0
Enemy,-1,-1,2,7,2,9,2000
Me,3,5,-1,-1,-1,-1,0
Enemy,1,4,-1,-1,-1,-1,2000
Me,3,6,-1,-1,-1,-1,0
Enemy,1,3,-1,-1,-1,-1,2000
Me,2,6,-1,-1,-1,-1,0
Enemy,2,3,-1,-1,-1,-1,2000
Me,-1,-1,7,7,9,7,0
Enemy,2,2,-1,-1,-1,-1,2000
Me,-1,-1,3,0,3,2,0
Enemy,2,3,-1,-1,-1,-1,2000
Me,-1,-1,2,1,2,3,0
Enemy,2,2,-1,-1,-1,-1,2000
Me,1,6,-1,-1,-1,-1,0
Enemy,2,1,-1,-1,-1,-1,2000
Me,1,7,-1,-1,-1,-1,0
Enemy,3,1,-1,-1,-1,-1,2000
Me,1,8,-1,-1,-1,-1,0
Enemy,3,2,-1,-1,-1,-1,2000
Me,1,9,-1,-1,-1,-1,0
Enemy,3,3,-1,-1,-1,-1,2000
Me,2,9,-1,-1,-1,-1,0
Enemy,4,3,-1,-1,-1,-1,2000
Me,2,8,-1,-1,-1,-1,0
Enemy,4,2,-1,-1,-1,-1,2000
Me,2,7,-1,-1,-1,-1,0
Enemy,5,2,-1,-1,-1,-1,2000
Me,3,7,-1,-1,-1,-1,0
Enemy,6,2,-1,-1,-1,-1,2000
Me,4,7,-1,-1,-1,-1,0
Enemy,6,1,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,7,1,-1,-1,-1,-1,2000
Me,6,7,-1,-1,-1,-1,0
Enemy,8,1,-1,-1,-1,-1,2000
Me,6,8,-1,-1,-1,-1,0
Enemy,9,1,-1,-1,-1,-1,2000
Me,7,8,-1,-1,-1,-1,0
Enemy,9,2,-1,-1,-1,-1,2000
Me,7,7,-1,-1,-1,-1,0
Enemy,9,3,-1,-1,-1,-1,2000
Me,8,7,-1,-1,-1,-1,0
Enemy,9,4,-1,-1,-1,-1,2000
Me,8,6,-1,-1,-1,-1,0
Enemy,9,5,-1,-1,-1,-1,2000
Me,9,6,-1,-1,-1,-1,0
Enemy,9,7,-1,-1,-1,-1,2000
Me,9,5,-1,-1,-1,-1,0
Enemy,8,7,-1,-1,-1,-1,2000
Me,9,4,-1,-1,-1,-1,0
Enemy,7,7,-1,-1,-1,-1,2000
Me,9,3,-1,-1,-1,-1,0
Enemy,7,8,-1,-1,-1,-1,2000
Me,9,2,-1,-1,-1,-1,2
Enemy,7,9,-1,-1,-1,-1,1
Me,-1,-1,-1,-1,-1,-1,2
