player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,-1,-1,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,5,8,-1,-1,-1,-1,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,-1,-1,3,8,5,8,2000
Me,5,4,-1,-1,-1,-1,0
Enemy,-1,-1,5,8,7,8,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,5,7,-1,-1,-1,-1,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,5,5,-1,-1,-1,-1,2000
Me,-1,-1,3,4,5,4,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,-1,-1,5,4,7,4,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,8,5,-1,-1,-1,-1,2000
Me,5,8,-1,-1,-1,-1,0
Enemy,8,4,-1,-1,-1,-1,2000
Me,4,8,-1,-1,-1,-1,0
Enemy,-1,-1,3,6,3,8,2000
Me,-1,-1,7,2,9,2,0
Enemy,7,4,-1,-1,-1,-1,2000
Me,-1,-1,5,2,7,2,0
Enemy,6,4,-1,-1,-1,-1,2000
Me,-1,-1,5,2,5,4,0
Enemy,7,4,-1,-1,-1,-1,2000
Me,5,8,-1,-1,-1,-1,0
Enemy,-1,-1,5,6,5,8,2000
Me,4,8,-1,-1,-1,-1,0
Enemy,-1,-1,2,6,4,6,2000
Me,5,8,-1,-1,-1,-1,0
Enemy,-1,-1,4,7,6,7,2000
Me,4,8,-1,-1,-1,-1,0
Enemy,8,4,-1,-1,-1,-1,2000
Me,4,7,-1,-1,-1,-1,0
Enemy,8,5,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,4,6,-1,-1,-1,-1,0
Enemy,-1,-1,2,4,2,6,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,-1,-1,7,8,9,8,2000
Me,-1,-1,4,3,4,5,0
Enemy,-1,-1,2,2,2,4,2000
Me,-1,-1,4,5,6,5,0
Enemy,-1,-1,2,2,4,2,2000
Me,-1,-1,6,5,8,5,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,4,6,-1,-1,-1,-1,0
Enemy,8,5,-1,-1,-1,-1,2000
Me,3,6,-1,-1,-1,-1,0
Enemy,9,5,-1,-1,-1,-1,2000
Me,3,5,-1,-1,-1,-1,0
Enemy,9,6,-1,-1,-1,-1,2000
Me,-1,-1,7,5,7,7,0
Enemy,8,6,-1,-1,-1,-1,2000
Me,3,4,-1,-1,-1,-1,0
Enemy,8,7,-1,-1,-1,-1,2000
Me,4,4,-1,-1,-1,-1,0
Enemy,8,8,-1,-1,-1,-1,2000
Me,4,3,-1,-1,-1,-1,0
Enemy,7,8,-1,-1,-1,-1,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,7,7,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,6,7,-1,-1,-1,-1,2000
Me,4,2,-1,-1,-1,-1,0
Enemy,6,6,-1,-1,-1,-1,2000
Me,3,2,-1,-1,-1,-1,0
Enemy,5,6,-1,-1,-1,-1,2000
Me,2,2,-1,-1,-1,-1,0
Enemy,4,6,-1,-1,-1,-1,2000
Me,2,3,-1,-1,-1,-1,0
Enemy,3,6,-1,-1,-1,-1,2000
Me,2,4,-1,-1,-1,-1,0
Enemy,3,5,-1,-1,-1,-1,2000
Me,2,5,-1,-1,-1,-1,0
Enemy,3,4,-1,-1,-1,-1,2000
Me,2,6,-1,-1,-1,-1,0
Enemy,4,4,-1,-1,-1,-1,2000
Me,2,7,-1,-1,-1,-1,0
Enemy,4,3,-1,-1,-1,-1,2000
Me,2,8,-1,-1,-1,-1,0
Enemy,5,3,-1,-1,-1,-1,2000
Me,2,9,-1,-1,-1,-1,1
